Function,Algorithm,MaxIterations,NumRuns,AvgFitness,StdFitness,MinFitness,MaxFitness,MedianFitness
Periodic,CBO,1000,30,9.621251e+00,1.124426e+00,6.738698e+00,1.182866e+01,9.475934e+00
Periodic,LSCBO-Fixed,1000,30,1.000001e+00,2.321437e-07,1.000000e+00,1.000001e+00,1.000001e+00
Expanded Schaffer F6,Random,1000,30,1.323704e+01,1.351083e-01,1.283193e+01,1.344650e+01,1.323214e+01
Expanded Schaffer F6,PSO,1000,30,9.390165e+00,8.166696e-01,7.404585e+00,1.074887e+01,9.601248e+00
Expanded Schaffer F6,GWO,1000,30,7.894673e+00,1.948679e+00,4.971734e+00,1.127443e+01,7.673714e+00
Expanded Schaffer F6,WOA,1000,30,2.097585e+00,3.548059e+00,0.000000e+00,9.652251e+00,0.000000e+00
Expanded Schaffer F6,CBO,1000,30,1.151461e+01,3.161966e+00,0.000000e+00,1.365483e+01,1.239590e+01
Expanded Schaffer F6,LSCBO-Fixed,1000,30,1.257728e+01,7.161185e-01,1.075547e+01,1.368282e+01,1.271784e+01
Weierstrass,Random,1000,30,4.183620e+01,8.625063e-01,3.997401e+01,4.323905e+01,4.193890e+01
Weierstrass,PSO,1000,30,2.972825e+00,1.570050e+00,4.137348e-01,7.765326e+00,2.655475e+00
Weierstrass,GWO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Weierstrass,WOA,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Weierstrass,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Weierstrass,LSCBO-Fixed,1000,30,4.321222e-01,6.169418e-02,3.255386e-01,5.768066e-01,4.257666e-01
Pathological,Random,1000,30,1.240177e+01,1.785648e-01,1.193906e+01,1.269205e+01,1.241431e+01
Pathological,PSO,1000,30,9.347201e+00,1.037095e+00,6.803636e+00,1.088359e+01,9.595055e+00
Pathological,GWO,1000,30,1.096215e+01,4.531321e-01,9.669735e+00,1.197823e+01,1.101266e+01
Pathological,WOA,1000,30,5.373441e-02,1.862765e-01,0.000000e+00,1.000006e+00,4.078701e-07
Pathological,CBO,1000,30,7.713210e+00,5.083210e+00,0.000000e+00,1.244635e+01,1.054426e+01
Pathological,LSCBO-Fixed,1000,30,4.591736e+00,2.959696e+00,4.666133e-05,1.027195e+01,5.066600e+00
Exponential,Random,1000,30,8.702515e-01,1.440314e-02,8.386647e-01,9.012353e-01,8.724169e-01
Exponential,PSO,1000,30,1.010673e-14,1.898285e-14,5.551115e-16,9.148238e-14,2.553513e-15
Exponential,GWO,1000,30,6.661338e-17,5.438960e-17,0.000000e+00,1.110223e-16,1.110223e-16
Exponential,WOA,1000,30,2.590520e-17,4.695717e-17,0.000000e+00,1.110223e-16,0.000000e+00
Exponential,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Exponential,LSCBO-Fixed,1000,30,3.889932e-07,1.573814e-07,1.897530e-07,8.481120e-07,3.424649e-07
Step,Random,1000,30,3.984657e+04,3.134652e+03,3.285400e+04,4.481600e+04,4.018000e+04
Step,PSO,1000,30,3.433333e+00,4.454835e+00,0.000000e+00,2.400000e+01,2.000000e+00
Step,GWO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Step,WOA,1000,30,3.333333e-02,1.795055e-01,0.000000e+00,1.000000e+00,0.000000e+00
Step,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Step,LSCBO-Fixed,1000,30,1.799000e+03,1.048387e+03,4.780000e+02,4.941000e+03,1.631000e+03
Bent Cigar,Random,1000,30,3.756118e+10,2.886812e+09,3.157091e+10,4.234783e+10,3.810126e+10
Bent Cigar,PSO,1000,30,2.333333e+03,4.229526e+03,1.404597e-14,1.000000e+04,6.570612e-12
Bent Cigar,GWO,1000,30,5.791015e-157,2.646810e-156,8.505672e-163,1.476519e-155,4.166979e-159
Bent Cigar,WOA,1000,30,3.265213e-199,0.000000e+00,9.048030e-222,9.795638e-198,1.069541e-213
Bent Cigar,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Bent Cigar,LSCBO-Fixed,1000,30,2.609501e+03,2.618591e+03,5.915102e+00,7.739088e+03,1.385243e+03
Discus,Random,1000,30,6.767500e+04,7.741837e+03,4.922249e+04,8.143040e+04,6.907754e+04
Discus,PSO,1000,30,3.666667e+03,4.818944e+03,2.091291e-21,1.000000e+04,2.810769e-17
Discus,GWO,1000,30,1.702877e-163,0.000000e+00,1.535241e-169,3.865670e-162,6.550688e-166
Discus,WOA,1000,30,8.723283e-213,0.000000e+00,6.710382e-226,2.537968e-211,1.859068e-218
Discus,CBO,1000,30,6.323296e-46,3.176201e-45,0.000000e+00,1.769209e-44,4.186418e-124
Discus,LSCBO-Fixed,1000,30,6.263202e-05,1.105285e-04,1.228688e-06,3.710211e-04,4.895527e-06
High Conditioned Elliptic,Random,1000,30,5.184018e+08,1.173669e+08,1.972787e+08,7.107533e+08,5.060483e+08
High Conditioned Elliptic,PSO,1000,30,1.182128e+07,2.582960e+07,1.793570e-13,1.383019e+08,1.531204e+06
High Conditioned Elliptic,GWO,1000,30,2.788579e-160,8.831740e-160,1.287624e-166,4.295601e-159,3.140835e-162
High Conditioned Elliptic,WOA,1000,30,2.028287e-209,0.000000e+00,8.241813e-223,6.082495e-208,4.612527e-218
High Conditioned Elliptic,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
High Conditioned Elliptic,LSCBO-Fixed,1000,30,1.120969e+04,8.228606e+03,1.059866e+03,3.280979e+04,9.258119e+03
Hybrid Function 1,Random,1000,30,1.976517e+04,1.562518e+03,1.439022e+04,2.183243e+04,2.018007e+04
Hybrid Function 1,PSO,1000,30,1.926236e+01,5.675813e+00,8.954625e+00,3.104264e+01,1.820770e+01
Hybrid Function 1,GWO,1000,30,3.923574e-01,1.000887e+00,1.610627e-239,3.061725e+00,1.748310e-222
Hybrid Function 1,WOA,1000,30,6.601320e-196,0.000000e+00,4.449896e-231,1.980310e-194,1.082837e-220
Hybrid Function 1,CBO,1000,30,1.754773e+01,3.512294e+01,0.000000e+00,9.438515e+01,0.000000e+00
Hybrid Function 1,LSCBO-Fixed,1000,30,3.140359e+02,1.069639e+02,1.134235e+02,5.461954e+02,3.086267e+02
Hybrid Function 2,Random,1000,30,4.932697e+06,2.002062e+06,1.373920e+06,1.069119e+07,4.808731e+06
Hybrid Function 2,PSO,1000,30,2.920299e+01,5.192374e+01,1.026917e+01,2.888303e+02,1.278186e+01
Hybrid Function 2,GWO,1000,30,6.046807e+00,2.852892e-01,5.571847e+00,6.845721e+00,6.105056e+00
Hybrid Function 2,WOA,1000,30,6.034248e+00,1.747157e-01,5.782565e+00,6.828029e+00,6.032908e+00
Hybrid Function 2,CBO,1000,30,6.999105e+00,2.877074e-03,6.984342e+00,7.000000e+00,7.000000e+00
Hybrid Function 2,LSCBO-Fixed,1000,30,2.136096e+01,1.992488e+01,9.634809e+00,8.939653e+01,1.417553e+01
