Function,Algorithm,Run,Fitness
Zakharov,GWO,26,6.219675e-32
Zakharov,GWO,27,1.787089e-33
Zakharov,GWO,28,2.046505e-34
Zakharov,GWO,29,2.043892e-35
Zakharov,GWO,30,2.954982e-33
Zakharov,WOA,1,5.981395e+02
Zakharov,WOA,2,3.469387e+02
Zakharov,WOA,3,7.032529e+02
Zakharov,WOA,4,2.641592e+02
Zakharov,WOA,5,5.752197e+02
Zakharov,WOA,6,4.665874e+02
Zakharov,WOA,7,4.994163e+02
Zakharov,WOA,8,4.589771e+02
Zakharov,WOA,9,3.402050e+02
Zakharov,WOA,10,3.848455e+02
Zakharov,WOA,11,4.789205e+02
Zakharov,WOA,12,3.815159e+02
Zakharov,WOA,13,4.143263e+02
Zakharov,WOA,14,4.537698e+02
Zakharov,WOA,15,4.906419e+02
Zakharov,WOA,16,3.581093e+02
Zakharov,WOA,17,4.564626e+02
Zakharov,WOA,18,4.628808e+02
Zakharov,WOA,19,4.989705e+02
Zakharov,WOA,20,4.046991e+02
Zakharov,WOA,21,4.523332e+02
Zakharov,WOA,22,4.813777e+02
Zakharov,WOA,23,3.812376e+02
Zakharov,WOA,24,5.075448e+02
Zakharov,WOA,25,5.362918e+02
Zakharov,WOA,26,5.672228e+02
Zakharov,WOA,27,3.914615e+02
Zakharov,WOA,28,4.800889e+02
Zakharov,WOA,29,6.166340e+02
Zakharov,WOA,30,3.085650e+02
Zakharov,CBO,1,0.000000e+00
Zakharov,CBO,2,0.000000e+00
Zakharov,CBO,3,0.000000e+00
Zakharov,CBO,4,0.000000e+00
Zakharov,CBO,5,0.000000e+00
Zakharov,CBO,6,7.327747e-242
Zakharov,CBO,7,0.000000e+00
Zakharov,CBO,8,0.000000e+00
Zakharov,CBO,9,0.000000e+00
Zakharov,CBO,10,0.000000e+00
Zakharov,CBO,11,0.000000e+00
Zakharov,CBO,12,1.634560e-208
Zakharov,CBO,13,0.000000e+00
Zakharov,CBO,14,0.000000e+00
Zakharov,CBO,15,1.095308e-307
Zakharov,CBO,16,0.000000e+00
Zakharov,CBO,17,0.000000e+00
Zakharov,CBO,18,0.000000e+00
Zakharov,CBO,19,0.000000e+00
Zakharov,CBO,20,0.000000e+00
Zakharov,CBO,21,0.000000e+00
Zakharov,CBO,22,0.000000e+00
Zakharov,CBO,23,7.294630e-319
Zakharov,CBO,24,1.122915e-308
Zakharov,CBO,25,0.000000e+00
Zakharov,CBO,26,0.000000e+00
Zakharov,CBO,27,0.000000e+00
Zakharov,CBO,28,0.000000e+00
Zakharov,CBO,29,0.000000e+00
Zakharov,CBO,30,0.000000e+00
Zakharov,ICBO,1,2.118794e-76
Zakharov,ICBO,2,2.278668e-197
Zakharov,ICBO,3,9.008674e-44
Zakharov,ICBO,4,2.236890e-49
Zakharov,ICBO,5,2.338614e-52
Zakharov,ICBO,6,5.160732e-45
Zakharov,ICBO,7,8.297269e-38
Zakharov,ICBO,8,2.317922e-48
Zakharov,ICBO,9,1.512610e-41
Zakharov,ICBO,10,1.348628e-48
Zakharov,ICBO,11,3.994675e-41
Zakharov,ICBO,12,7.522849e-38
Zakharov,ICBO,13,5.173451e-41
Zakharov,ICBO,14,1.897820e-57
Zakharov,ICBO,15,1.164157e-94
Zakharov,ICBO,16,1.672791e-51
Zakharov,ICBO,17,6.156189e-36
Zakharov,ICBO,18,1.577805e-66
Zakharov,ICBO,19,2.245259e-78
Zakharov,ICBO,20,1.148674e-49
Zakharov,ICBO,21,2.331032e-40
Zakharov,ICBO,22,2.550044e-88
Zakharov,ICBO,23,1.542766e-28
Zakharov,ICBO,24,3.846951e-41
